example_id                                                                                                                                 | status  | run_time        |
------------------------------------------------------------------------------------------------------------------------------------------ | ------- | --------------- |
./spec/components/attachment/context_spec.rb[1:1:1]                                                                                        | passed  | 0.00417 seconds |
./spec/components/attachment/context_spec.rb[1:2:1]                                                                                        | passed  | 0.00805 seconds |
./spec/components/attachment/context_spec.rb[1:3:1]                                                                                        | passed  | 0.00344 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:1:1:1]                                                                         | passed  | 0.02658 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:1:2:1]                                                                         | passed  | 0.06646 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:2:1]                                                                           | passed  | 0.01376 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:3:1:1]                                                                         | passed  | 0.01475 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:3:2:1]                                                                         | passed  | 0.01995 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:4:1]                                                                           | passed  | 0.01411 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:5:1:1]                                                                         | passed  | 0.06179 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:5:2:1]                                                                         | passed  | 0.02108 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:6:1]                                                                           | passed  | 0.20767 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:6:2]                                                                           | passed  | 0.18954 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:7:1]                                                                           | passed  | 0.2617 seconds  |
./spec/components/attachment/file_input_component_spec.rb[1:8:1]                                                                           | passed  | 0.01618 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:9]                                                                             | passed  | 0.01662 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:10:1]                                                                          | passed  | 0.01291 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:10:2:1]                                                                        | passed  | 0.0213 seconds  |
./spec/components/attachment/file_input_component_spec.rb[1:10:3:1]                                                                        | passed  | 0.02524 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:11:1]                                                                          | passed  | 0.01346 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:12:1]                                                                          | passed  | 0.01743 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:12:2:1]                                                                        | passed  | 0.018 seconds   |
./spec/components/attachment/file_input_component_spec.rb[1:13:1]                                                                          | passed  | 0.01158 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:14:1]                                                                          | passed  | 0.01324 seconds |
./spec/components/attachment/file_input_component_spec.rb[1:14:2:1]                                                                        | passed  | 0.01222 seconds |
./spec/components/attachment/hints_component_spec.rb[1:1:1]                                                                                | passed  | 0.2052 seconds  |
./spec/components/attachment/hints_component_spec.rb[1:2:1]                                                                                | passed  | 0.14779 seconds |
./spec/components/attachment/hints_component_spec.rb[1:3:1]                                                                                | passed  | 0.22012 seconds |
./spec/components/attachment/hints_component_spec.rb[1:4:1]                                                                                | passed  | 0.16472 seconds |
./spec/components/attachment/hints_component_spec.rb[1:4:2]                                                                                | passed  | 0.16521 seconds |
./spec/components/attachment/hints_component_spec.rb[1:5:1]                                                                                | passed  | 0.18378 seconds |
./spec/components/attachment/show_component_spec.rb[1:1:1]                                                                                 | passed  | 0.19329 seconds |
./spec/components/attachment/show_component_spec.rb[1:2:1]                                                                                 | passed  | 0.17987 seconds |
./spec/components/attachment/show_component_spec.rb[1:3:1]                                                                                 | passed  | 0.19597 seconds |
./spec/components/attachment/show_component_spec.rb[1:4:1]                                                                                 | passed  | 0.17266 seconds |
./spec/components/attachment/show_component_spec.rb[1:5:1]                                                                                 | passed  | 0.18623 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:1:1]                                                                  | passed  | 0.05656 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:2:1]                                                                  | passed  | 0.04814 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:3:1]                                                                  | passed  | 0.06706 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:1:1:1]                                                              | passed  | 0.06704 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:1:2:1:1]                                                            | passed  | 0.06519 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:1:2:2:1]                                                            | passed  | 0.0676 seconds  |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:1:3:1]                                                              | passed  | 0.06968 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:2:1:1]                                                              | passed  | 0.07198 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:2:2:1:1]                                                            | passed  | 0.06474 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:2:2:2:1]                                                            | passed  | 0.08042 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:2:3:1]                                                              | passed  | 0.09262 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:3:1:1]                                                              | passed  | 0.0707 seconds  |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:3:2:1]                                                              | passed  | 0.1048 seconds  |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:3:3:1]                                                              | passed  | 0.06293 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:3:4:1]                                                              | passed  | 0.09136 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:3:5:1]                                                              | passed  | 0.12917 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:3:6:1]                                                              | passed  | 0.07948 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:3:7:1]                                                              | passed  | 0.07878 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:3:8:1]                                                              | passed  | 0.1219 seconds  |
./spec/components/conditions/champs_conditions_component_spec.rb[1:1:4:4:1]                                                                | passed  | 0.08924 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:2:1:1]                                                                  | passed  | 0.05965 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:2:2:1]                                                                  | passed  | 0.05432 seconds |
./spec/components/conditions/champs_conditions_component_spec.rb[1:2:3:1]                                                                  | passed  | 0.06891 seconds |
./spec/components/conditions/ineligibilite_rules_component_spec.rb[1:1:1:1]                                                                | passed  | 0.06626 seconds |
./spec/components/conditions/ineligibilite_rules_component_spec.rb[1:1:2:1]                                                                | passed  | 0.06394 seconds |
./spec/components/conditions/ineligibilite_rules_component_spec.rb[1:2:1:1]                                                                | passed  | 0.05688 seconds |
./spec/components/conditions/ineligibilite_rules_component_spec.rb[1:2:2:1]                                                                | passed  | 0.10171 seconds |
./spec/components/dossiers/annuaire_education_component_spec.rb[1:1:1]                                                                     | passed  | 0.11465 seconds |
./spec/components/dossiers/annuaire_education_component_spec.rb[1:1:2:1]                                                                   | passed  | 0.03472 seconds |
./spec/components/dossiers/annuaire_education_component_spec.rb[1:1:3:1]                                                                   | passed  | 0.03057 seconds |
./spec/components/dossiers/champs_rows_show_component_spec.rb[1:1:1:1]                                                                     | passed  | 0.20707 seconds |
./spec/components/dossiers/champs_rows_show_component_spec.rb[1:1:2:1]                                                                     | passed  | 0.24835 seconds |
./spec/components/dossiers/champs_rows_show_component_spec.rb[1:2:1:1]                                                                     | passed  | 0.05762 seconds |
./spec/components/dossiers/champs_rows_show_component_spec.rb[1:2:2:1]                                                                     | passed  | 0.06465 seconds |
./spec/components/dossiers/changes_component_spec.rb[1:1:1]                                                                                | passed  | 0.00284 seconds |
